CATEGORY NAME,BRAND,PLCDE,PLDESC,PLTEXT,SIZE,PRICE, VAT,    RRP,B,F,G,O,S,V
NUTS & SEEDS,SUMA BAGGED DOWN - ORGANIC,NU032,Brazils Whole - organic,,2.5 KG,29.69,,,,,G,O,,V
DAIRY DESSERTS (FROZEN),CREAM O' GALLOWAY,XL310,Strawberries & Cream Ice Cream,,6 X 500ML,17.31,1,4.59,,F,G,O,S,
SNACK BARS & FLAPJACKS,CLIF,KB283,Chocolate almond Fudge Bar,,12 X 68G,11.52,1,1.6,,,,,S,V
COCOA,SUMA BAGGED DOWN - ORGANIC,LJ149,Cocoa Powder Fairtrade,& Organic,3 KG,39.95,,,,F,G,O,,V
VEGETABLES,COOKS & CO,KJ093,Mixed Forest Mushrooms,,6 X 40G,11.81,,2.65,,,G,,,
BISCUITS CRACKERS & CRISPBREAD,MRS CRIMBLES,BT314,Chocolate Coated Rice Cakes,,12 X 100G,12.19,1,1.79,,,G,,S,
FRUIT - DRIED,SUMA COMMODITIES,DR003,Apple - rings so2,,10 KG,50.75,,,,,G,,,V
FRUIT - CANNED & JARRED,CLEARSPRING,VF052,Pear,Squeezy Pouches,10 X 100G,6.68,,0.89,,,,O,,V
JAMS & FRUIT SPREADS,ST DALFOUR,JS120,Orange and Ginger Spread,,6 X 284G,9.07,,2.05,,,G,,,V
CHOCOLATE,DIVINE,ZX488,Milk Chocolate,,15 X 100G,19.2,1,2.05,,F,G,,S,
SNACK BARS & FLAPJACKS,DOVES FARM,KB231,Apple & Sultana Flapjack,Organic & Fair Trade,16 X 40G,5.2,,0.55,,F,,O,S,V
HERB & FRUIT INFUSIONS,HIGHER LIVING,TE757,Ginger Kick - organic,,6 X 15 BAGS,8.96,,1.99,,,G,O,,V
HOUSEHOLD CLEANING PRODUCTS,ECOVER,HJ076,Laundry Bleach,,6 X 400G,7.12,1,1.89,,,,,,V
BABY & CHILD FOOD,ORGANIX,BB288,Goodies Gummies App/Strawberry,,15 X 12G,7.38,1,0.79,,,,O,,V
HOUSEHOLD PRODUCTS,ECOFORCE,NF219,Recycled Bag Grips,,10 X 60G,3.1,1,0.99,,,,,,
BABY & CHILD FOOD,ELLA'S KITCHEN,BB196,Apple & Pear Baby Rice,,7 X 120G,6.25,,1.19,,,,O,,
HOUSEHOLD CLEANING PRODUCTS,FAITH,HJ137,Multi-Surface Spray Cleaner,Antibacterial,6 X 500ML,13.7,1,3.65,,,,,,V
TEAS,NEW ENGLISH TEAS,TE261,Slogans Triple Gift Pack,Breakfast/Afternoon/Traditionl,16 X 106G,49.65,,4.25,,,,,,V
SUPPLEMENTS & REMEDIES,GREEN BAY HARVEST,MD091,Manuka Lozenges - Blackcurrant,100% natural throat/vocal care,12 X 22G,39.27,1,5.25,,,G,,,
HERBS & SPICES - PREPACKED,SUMA ORGANIC,HE392,Tarragon - Organic,,6 X 10G,5.29,,1.19,,,G,O,,V
FLOURS & BREAD MIXES,GLEBE FARM,FG068,Gluten Free White Bread Mix,,8 X 375G,12.77,,2.15,,,G,,,V
FRUIT & VEGETABLE JUICES,BERRY COMPANY,JU055,Blueberry Juice Drink,,12 X 1L,16.77,1,2.24,,,G,,,V
BODYCARE,GREEN PEOPLE COMPANY,DY173,Sun Lotion SPF 25 - No Scent,,6 X 50ML,33.18,1,9.95,,,G,O,,
HONEY,ROWSE,HY258,Everyday Honey - Clear,,6 X 340G,13.35,,2.97,,,G,,,
CRISPS & SNACKS,HECTARES SWEET POTATO CRISPS,ZX340,Piri Piri,,24 X 35G,17.8,,0.99,,,G,,,V
OILS & FATS,SUMA,GT080,Sunflower Oil - organic,cold pressed,6 X 500ML,13.6,,2.99,,,G,O,,V
BABY & CHILD FOOD,HOLLE,BB271,Millet Porridge Apple & Pear,from 6 months,6 X 250G,12.03,,2.75,,,G,O,,V
CHEESE; COWS MILK (CHILLED),HIGH WEALD DAIRY,CV301,Org Cow & Sheeps Milk Halloumi,Contains Cow & Sheeps Milk,PER KG,13,,,,,G,O,,
BABYCARE PRODUCTS,JACK N' JILL,BK020,Display Stand - Toothpaste,,EACH,0,,,,,,,,
MILK - NON DAIRY,KOKO DAIRY FREE,SY055,Coconut Milk Drink Strawberry,with calcium,8 X 3X250ML,11.94,,1.99,,,G,,S,V
FRUIT JUICE CONCS & CORDIALS,BELVOIR,JU235,Rhubarb & Strawberry Cordial,,6 X 500ML,16.83,1,4.49,,,G,,S,V
BODYCARE,WILD FERNS,DY678,Manuka Honey Face Moisturiser,replenishing with SPF15,6 X 75ML,40.8,1,12.2,,,,,,
SALT & SEASONINGS,MARIGOLD,LJ444,Liquid Aminos,All Purpose Seasoning,6 X 250ML,14.76,,3.27,,,G,,,V
TABLE SAUCES,MARCELA FLORES,KJ168,Smokey Chipotle & Tomato Salsa,,6 X 195G,9.41,,2.09,,,,,,V
FLAKES; BRANS & WHEATGERM,MORNFLAKE,FG037,Fine Oatmeal,,12 X 500G,7.49,,0.85,,,,,,V
MUESLIS & BREAKFAST CEREALS,SUMA BULK MUESLI - ORGANIC,MX130,De Luxe Muesli - organic,,3 KG,9.15,,,,,,O,,V
CHOCOLATE,PLAMIL,KB263,No Added Sugar with Mint,Nut Free (contains Xylitol),24 X 45G,16.35,1,1.09,,,G,,,V
HOUSEHOLD CLEANING PRODUCTS,EARTH FRIENDLY,HJ112,Wave Dishwasher Gel,,6 X 946ML,18.96,1,5.05,,,G,,,V
OLIVES,ATTIS,KJ008,Black Olives in Brine,,12 X 454G,25.1,,2.79,,,G,,,V
MUESLIS & BREAKFAST CEREALS,NATURES PATH,MX195,Gluten Free O's,,4 X 325G,10.17,,3.39,,,G,O,S,
SUGARS & SYRUPS,BILLINGTONS,LJ059,Sugar - Light Muscovado,,10 X 500 G,12.6,,1.69,,,G,,S,V
FRUIT & VEGETABLE JUICES,SUNITA,JU672,Lemon Juice - organic,,6 X 1 L,22.14,,4.9,,,G,O,,V
GRAINS,SUMA PREPACKS - ORGANIC,QS070,Popcorn - organic,,6 X 500G,8.77,,1.95,,,G,O,,V
COFFEE,PERCOL,TE701,Latin American Fairtrade - og,,8 X 227G,21.07,,3.49,,F,G,O,,V
NUTS & SEEDS,SUMA COMMODITIES - ORGANIC,NU885,Peanuts - organic,,25 KG,78,,,,,G,O,,V
MILK - NON DAIRY,PROVAMEL,SY270,Soya Milk - Unsweetened +,calcium & vitamins (Orange),12 X 1L,13.05,,1.45,,,G,,,V
SNACK BARS & FLAPJACKS,BEOND,KB313,Raw Chocolate Bar,,18 X 35G,11.16,1,0.99,,,G,O,,V
BREADS & BREAD MIXES,BIONA,BT464,Rye Bread - Amaranth & Quinoa,Wheat free,6 X 500G,8.51,,1.89,,,,O,,V
FLAKES; BRANS & WHEATGERM,SUMA PREPACKS - ORGANIC,FX032,Rice Flakes Brown - organic,,6 X 500G,15.17,,3.35,,,,O,,V
MEATLESS SUBSTITUTES (CHILLED),VBITES,CV621,Southern Fried Chicken Pieces,,6 X 150G,10.56,,2.35,,,,,S,V
READY MEALS (FROZEN),SAMOSACO,XL329,Vegetable Samosa & Pakora,,8 X 180G,13.52,,2.25,,,,,,V
FLOURS & BREAD MIXES,SHIPTON MILL,FG876,White Strong Organic Flour,good for breadmaking,5 X 2.5KG,13.55,,3.59,,,,O,,V
MILK - NON DAIRY,SOYA SOLEIL,SY136,Soya milk - Unsweetened,,12 X 1L,10.71,,1.19,,,,,,V
SALADS & SPROUTS (CHILLED),SKY SPROUTS,CV504,Organic Mixed Bean Sprouts,,227G,0.97,,1.29,,,G,O,,V
FRUIT - DRIED,SUMA BAGGED DOWN - ORGANIC,DR146,Sultanas - organic,,2.5 KG,10.69,,,,,G,O,,V
GRAVY; STOCK & BOUILLON,SUMA,LJ214,Reduced Salt Bouillon Powder,Vegan - Recyclable Packaging,6 X 150G,6.5,,1.45,,,G,,,V
ESSENTIAL OILS,AQUA OLEUM,AR026,Tea Tree,Melaeuca Alternifolia-Australi,3 X 10ML,7.12,1,4.25,,,,,,V
TEAS,CLIPPER,TE967,Indian Chai organic,Black tea with warming spices,6 X 20BAGS,8.54,,1.9,,F,G,O,,V
SUGARS & SYRUPS,TRAIDCRAFT,LJ514,White Sugar Sticks,,500 X 3G,6.4,,8.5,,F,G,,,V
CHEESE SUBSTITUTES (CHILLED),TOFUTTI,CV293,Creamy Smooth Herb & Chives,,12 X 227G,25.65,,2.85,,,G,,S,V
TEAS,DRAGONFLY,TE477,Mao Feng,,6 X 50G,32.64,,7.25,,,G,,,V
CRISPS & SNACKS,TYRRELLS,ZX334,Purple Sweet Potato,Minimum 30 days shelf life,12 X 125G,29.61,,3.29,,,G,,,V
SPIRITS & LIQUEURS,,RS237,Estival Cognac,,1 X 70CL,22.54,1,35.98,,,G,O,,V
WINES,WHITE WINE,RS224,Meinklang Gruner Veltliner,Biodynamic,1 X 75CL,8.24,1,13.19,B,,G,O,,V
CHOCOLATE,GREEN & BLACKS,ZX239,Milk Chocolate,,15 X 100G,21.44,1,2.29,,F,G,O,S,
BODYCARE,NATRACARE,NF826,Applicator Tampon - Super,Organic,12 X 16,24.77,5,2.89,,,,O,,
BAKING SUNDRIES,WILLIE'S CACAO,KB399,72% Rio Caribe cooking drops,coffee & nut notes,6 X 150G,16.2,,3.6,,,G,,S,V
HERB & FRUIT INFUSIONS,YOGI TEA,TE426,Bedtime Rooibos Vanilla Minis,,24 X 6 BAGS,14.22,,0.79,,,G,O,,V
OILS & FATS,ZAYTOUN,GT056,Olive Oil - Fair Trade,,6 X 500 ML,45.35,,10.05,,F,G,,,V
BODYCARE,NATRACARE,NF030,Tampons Regular - Organic,,20 X 10,24.14,5,1.69,,,,O,,V
CHOCOLATE,BOOJA BOOJA,KB125,Around Midnight Espresso Egg,,6 X 34.5G,37.5,1,9.99,,,G,O,S,V
NUTS & SEEDS,SUMA COMMODITIES - ORGANIC,NU890,Brazils Whole - organic,,20 KG,192.9,,,,,G,,,V
SWEET SNACKS,CHIMES GINGER CHEWS,ZX330,Original Chewy Ginger Candy,,12 X 42.5G,12.72,1,1.69,,,G,,S,V
SNACK BARS & FLAPJACKS,CLIF,KB284,White Chocolate Macadamia Bar,,12 X 68G,11.52,1,1.6,,,,,S,V
COCOA,SUMA PREPACKS,LJ189,Cocoa Powder - organic; FT,fairtrade,6 X 250G,17.62,,3.91,,F,G,O,,V
VEGETABLES,COOKS & CO,KJ092,Red Peppers stuffed with Feta,,6 X 290G,14.21,,3.15,,,G,,,
NUTS & SEEDS,SUMA COMMODITIES - ORGANIC,NU800,Almonds; ground - organic,,10 KG,118,,,,,G,O,,V
BISCUITS CRACKERS & CRISPBREAD,MRS CRIMBLES,BT263,Original Cream Crackers,,12 X 130G,19.63,,2.19,,,G,,,
FRUIT - CANNED & JARRED,CLEARSPRING,VF062,Apple & Mango,Squeezy Pouches,10 X 100G,6.68,,0.89,,,,O,,V
JAMS & FRUIT SPREADS,ST DALFOUR,JS061,Thick Cut Orange Spread,,6 X 284G,9.07,,2.05,,,G,,,V
CHOCOLATE,DIVINE,ZX001,Dark Chocolate with Mint,,15 X 100G,19.2,1,2.05,,F,G,,S,V
SNACK BARS & FLAPJACKS,DOVES FARM,KB227,Original Butter Flapjack,Organic & Fair Trade,12 X 5X40G,16.15,,1.79,,F,,O,S,
HERB & FRUIT INFUSIONS,HIGHER LIVING,TE826,Green Tea - organic,,6 X 20 BAGS,8.96,,1.99,,,G,O,,V
HOUSEHOLD CLEANING PRODUCTS,ECOVER,HJ028,Fabric Conditioner,Amongst the Flowers,5L,6.76,1,10.83,,,,,,
HOUSEHOLD PRODUCTS,ECOFORCE,NF349,Heavy Duty Kitchen Scourer 3's,,10 X 3,7.76,1,1.25,,,,,,
FRUIT - DRIED,SUMA BAGGED DOWN,DR004,Apple - rings  SO2,,5 KG,31.79,,,,,G,,,V
BABY & CHILD FOOD,ELLA'S KITCHEN,BB127,Four Bean Feast,from 7 months,6 X 130G,8.05,,1.79,,,,O,,
HOUSEHOLD CLEANING PRODUCTS,FAITH,HJ139,Multi Surface Wipes,Anti Bacterial,12 X 40,12.56,1,1.67,,,,,,V
TEAS,NEW ENGLISH TEAS,TE260,Beatrix Potter Gift Tins,Breakfast/Afternoon/Earl Grey,4 X 3 TINS,35.85,,11.95,,,,,,V
SWEET SNACKS,GOODY GOOD STUFF,ZX119,Cheery Cherries,,12 X 100G,10.8,1,1.45,,,G,,S,
SUPPLEMENTS & REMEDIES,GREEN BAY HARVEST,MD092,Lozenges Echinacea & Propolis,100% natural throat/vocal care,12 X 22G,39.27,1,5.25,,,G,,,
HERBS & SPICES - PREPACKED,SUMA,HE204,Lavender,,6 X 15G,3.82,,0.85,,,G,,,V
BABY & CHILD FOOD,ORGANIX,BB286,Goodies Gummies Apple & Mango,,15 X 12G,7.38,1,0.79,,,,O,,V
FLAKES; BRANS & WHEATGERM,GLEBE FARM,FG112,Oat Bran - Wheat & Gluten Free,,8 X 300G,16.67,,2.79,,,G,,,V
BODYCARE,GREEN PEOPLE - ORGANIC YOUNG,DY971,OY! Cleanse & Moisturise,& Make Up Remover,6 X 50ML,33.18,1,9.95,,,G,O,,V
HONEY,ROWSE,HY259,Everyday Honey - Set,,6 X 340G,13.35,,2.97,,,G,,,
HERB & FRUIT INFUSIONS,SUMA,HE102,Chamomile,German Chamomile,500G,8.65,,,,,G,,,V
BREADS & BREAD MIXES,BAVARIAN,BT533,Pumpernickel Bread - Organic,,12 X 500G,16.1,,1.79,,,,O,,V
BABY & CHILD FOOD,HOLLE,BB272,Millet Porridge,from 4 - 6 months,6 X 250G,12.03,,2.75,,,G,O,,V
BISCUITS CRACKERS & CRISPBREAD,ISLAND BAKERY ORGANICS,BT121,Apple Crumbles Organic Biscuit,,12 X 150G,23.05,,2.55,,,,O,S,
FRUIT & VEGETABLE JUICES,BERRY COMPANY,JU375,Blueberry Juice Drink,,12 X 330ML,9.67,1,1.29,,,G,,S,V
BABYCARE PRODUCTS,JACK N' JILL,DY297,Toothpaste - Blueberry,organic fruit flavours,6 X 50G,16.6,1,4.99,,,G,,,V
BISCUITS CRACKERS & CRISPBREAD,DR KARG,BT812,Classic 3-Seed Crispbread,Wholegrain; organic,8 X 200G,13.74,,2.29,,,,O,,V
BODYCARE,WILD FERNS,DY682,Manuka Night Revival Cream,,6 X 100ML,35.65,1,10.65,,,,,,
INCENSE,COLIBRI,NF187,Cedarwood Mini Sachets,Anti Moth,1 X 5 SACHET,2.53,1,5.9,,F,,,,V
TABLE SAUCES,MARCELA FLORES,KJ167,Sweet Pepper & Tomato Salsa,,6 X 195G,9.41,,2.09,,,,,,V
FLAKES; BRANS & WHEATGERM,MORNFLAKE,FG035,Medium Oatmeal,Now in 12s,12 X 500G,7.49,,0.85,,,,,,V
MUESLIS & BREAKFAST CEREALS,SUMA MUESLI - BAG IN BOX,MX093,Gluten Free Puffed Muesli - Og,,6 X 400G,11.99,,2.65,,,G,O,,V
YEAST EXTRACTS,NATEX,GH055,Yeast Extract - Low Salt,,8 X 225G,21.34,,3.55,,,G,,,V
NON-DAIRY DESSERTS (FROZEN),ICE DELIGHT,XL238,Blackcurrant Iced Dessert,,12 X 100ML,11.49,1,1.55,,,G,,S,V
BAGS; BOXES AND BASKETS,SUMA,NF582,Suma Cotton Bag - Long Handle,With gusset;printed both sides,EACH,0.92,1,1.49,,,,,,
SUPPLEMENTS & REMEDIES,NATURES OWN,VM058,Brewers Yeast (BPC),300mg,500 TABS,3.69,1,6.6,,,G,,,V
FRUIT & VEGETABLE JUICES,SUNITA,JU671,Lemon Juice - organic,,12 X 250 ML,16.8,,1.85,,,G,O,,V
NUTS & SEEDS,SUMA PREPACKS,NU094,Pumpkin seeds,,6 X 125G,5.64,,1.25,,,G,,,V
CONVENIENCE FOODS,ZANAE,VF044,Butter Bean Salad,,12 X 280G,15.21,,1.69,,,,,,V
COFFEE,PERCOL,TE706,Guatemala Fairtrade,,8 X 227G,21.07,,3.49,,F,G,,,V
NUTS & SEEDS,SUMA BAGGED DOWN - ORGANIC,NU245,Peanuts - organic,Paleskins,2.5 KG,10.09,,,,,G,O,,V
DRINKS (CHILLED),GROVE ORGANIC FRUIT CO,CV259,Organic Orange Juice (Large),Not from concentrate,6 X 1.75L,19.11,1,5.1,,,G,O,,V
SUGARS & SYRUPS,BILLINGTONS,LJ109,Sugar - Molasses,,10 X 500G,12.6,,1.69,,,G,,S,V
SUPERFOODS & SPORTS NUTRITION,PULSIN',VM093,Hemp Protein Powder,47% protein,6 X 250G,33.56,,7.99,,,G,,,V
GRAINS,SUMA PREPACKS,QS050,Rice - basmati white,,6 X 500G,8.85,,1.95,,,G,,,V
MEATLESS SUBSTITUTES (CHILLED),VBITES,CV623,Southern Fried Chicken Burger,,6 X 160G,12.11,,2.69,,,,,S,V
FAR EASTERN FOOD,SANCHI,JP666,Miso Soup - organic,,12 X 6 X 10G,40.22,,4.45,,,,O,,
FLOURS & BREAD MIXES,SHIPTON MILL,FG123,'00' Italian White Flour,In a plain brown bag,10 X 1KG,12.64,,1.69,,,,,,V
SOFT DRINKS,SMUG DRINKS,JU140,Apple & Blueberry,with Ginseng; Ginkgo; B vits,12 X 400ML,14.17,1,1.89,,,,,,
ESSENTIAL OILS,AQUA OLEUM,DY450,Tea Tree,Melaeuca Alternifolia-Australi,1 X 100ML,16.61,1,29.75,,,,,,V
SALADS & SPROUTS (CHILLED),SKY SPROUTS,CV510,Organic Sprouts Multi Pack,Mixed Beans; Alf/Broc; Sango R,160G,1.45,,1.93,,,G,O,,V
FRUIT - DRIED,SUMA COMMODITIES,DR042,Sultanas,Turkey,12.5 KG,35,,,,,G,,,V
GRAVY; STOCK & BOUILLON,SUMA,LJ235,Reduced Salt Bouillon Powder,Vegan - Recyclable Packaging,500G,3.25,,4.35,,,G,,,V
TEAS,CLIPPER,TE571,Green Tea with Aloe Vera - og,,6 X 20 BAGS,10.71,,2.38,,F,G,O,,V
CHEESE SUBSTITUTES (CHILLED),TOFUTTI,CV297,Cheddar Style D/Free Slices,,24 X 150G,38.69,,2.15,,,G,,S,V
BISCUITS CRACKERS & CRISPBREAD,TREGROES WAFFLES,BT232,Dark Chocolate Waffles Box,,12 X 270G,22.36,1,2.99,,,,,S,
BAGS; BOXES AND BASKETS,D2W,NF406,100% Degradable Refuse Sacks,Degrades to CO2 and water,24 X 10 BAGS,20.75,1,1.39,,,,,,
CRISPS & SNACKS,TYRRELLS,ZX073,Cheddar and Onion Tortillas,Glastonbury Cheddar,12 X 175G,17.44,,1.27,,,G,,S,
BREADS & BREAD MIXES,BIONA,BT073,Org Rye Chia and Flax Bread,,6 X 500G,9.86,,2.19,,,,O,,V
WINES,WHITE WINE,RS208,Muscadet de Sevre et Maine,Chateau Grande Fessadiere,1 X 75CL,6.21,1,9.89,B,,G,O,,V
CHOCOLATE,GREEN & BLACKS,ZX251,Maya Gold Dark Chocolate,,15 X 100G,21.44,1,2.29,,F,G,O,S,
CHOCOLATE,WILLIE'S CACAO,KB365,Javan 69; Indonesian,soft caramel notes,12 X 80G,22.43,1,2.99,,,G,,S,V
HERB & FRUIT INFUSIONS,YOGI TEA,TE428,Sweet Chilli,,6 X 17 BAGS,10.3,,2.29,,,G,O,,V
OILS & FATS,ZAYTOUN,GT022,Olive Oil - Organic Fairtrade,,6 X 750 ML,68.68,,15.25,,F,G,O,,V
TABLE SAUCES,BIONA,KJ179,Salsa Dip Sauce Cool / Mild,,6 X 260G,9.86,,2.19,,,G,O,,V
BODYCARE,NATRACARE,NF031,Tampons Super - Organic,,20 X 10,25.57,5,1.79,,,,O,,V
NON-DAIRY DESSERTS (FROZEN),BOOJA BOOJA,XL038,Vanilla M'Gorilla,,6 X 500ML,28.14,1,7.49,,,G,O,,V
SWEET SNACKS,BURNT SUGAR,ZX592,Original Crumbly Fudge,`Lumpy Bumpy',6 X 150G,12.75,1,3.39,,,,,S,
SWEET SNACKS,CHIMES GINGER CHEWS,ZX331,Peppermint Chewy Ginger Candy,,12 X 42.5G,12.72,1,1.69,,,G,,S,V
BEANS & PULSES - DRIED,SUMA COMMODITIES - ORGANIC,PU140,Chick Peas - organic,,25 KG,37,,,,,G,O,,V
SNACK BARS & FLAPJACKS,CLIF,KB086,Chocolate Chip Bar,,12 X 68G,11.52,1,1.6,,,,,S,
NUTS & SEEDS,SUMA PREPACKS - ORGANIC,NU041,Coconut - desiccated; organic,,6 X 125G,4.79,,1.05,,,G,O,,V
VEGETABLES,COOKS & CO,KJ017,Roasted Red Peppers,,6 X 360G,11.9,,2.69,,,G,,,V
NUTS & SEEDS,SUMA BAGGED DOWN - ORGANIC,NU430,Almonds; ground - organic,,1 KG,13.65,,,,,G,O,,V
CHOCOLATE,DIVINE,KB581,Milk Chocolate Easter Egg,,6 X 55G,12,1,3.3,,F,G,,S,
CAKES,MRS CRIMBLES,BT244,Dutch Apple Cake,Wheat Free,12 X 475G,28.41,,3.15,,,,,S,V
FAR EASTERN FOOD,CLEARSPRING,JP072,Sushi Nori - toasted,7 Sheets,8 X 17G,20.34,,3.39,,,G,,,V
JAMS & FRUIT SPREADS,ST DALFOUR,JS065,Golden Peach Spread,,6 X 284G,9.07,,2.05,,,G,,,V
SNACK BARS & FLAPJACKS,DOVES FARM,KB252,Tropical Bar,Organic & Fair Trade,12 X 5X40G,21.58,1,2.88,,F,,O,S,V
HERB & FRUIT INFUSIONS,HIGHER LIVING,TE827,Green Tea Chai - organic,,6 X 20 BAGS,8.96,,1.99,,,G,O,,V
HOUSEHOLD CLEANING PRODUCTS,ECOVER,HJ032,Fabric Conditioner,Under The Sun,5L,6.76,1,10.83,,,,,,
HOUSEHOLD PRODUCTS,ECOFORCE,NF095,Heavy Duty Sponge Refill - 3pk,,9 X 3 PACK,9.9,1,1.75,,,,,,
CONVENIENCE FOODS,STEENBERGS,KJ176,Apple & Onion Stuffing - Org,,6 X 150G,11.91,,2.65,,,,O,,V
BABY & CHILD FOOD,ELLA'S KITCHEN,BB058,Kitchen Vegetable Bake,from 7 months,6 X 130G,8.05,,1.79,,,,O,,
HOUSEHOLD CLEANING PRODUCTS,FAITH,HJ182,Multi-Surface Spray Cleaner,Bulk,5L,19.39,1,31.03,,,,,,V
PICKLES; CHUTNEYS & MUSTARDS,FOSTERS,KJ148,Pickled Onions,,6 X 500G,16,,3.59,,,,,,V
SWEET SNACKS,GOODY GOOD STUFF,ZX146,Cola Breeze,,12 X 100G,10.8,1,1.45,,,G,,S,V
SUPPLEMENTS & REMEDIES,GREEN BAY HARVEST,MD105,Manuka Lozenges - Lemon,100% natural throat/vocal care,12 X 22G,39.27,1,5.25,,,G,,,
HERBS & SPICES - PREPACKED,GREEN CUISINE,HE226,Spice & Fruit for Mulled Wine,In a presentation cracker,12 X 10G,14.4,,1.75,,,G,,,V
FLOURS & BREAD MIXES,GLEBE FARM,FG113,Oat Flour - Wheat/Gluten Free,,8 X 300G,19.44,,3.25,,,G,,,V
BABY & CHILD FOOD,ORGANIX,BB075,Carrot Cake Soft Oaty Bars,from 12 months,6 X 6X30G,14.55,1,3.89,,,,O,,V
BODYCARE,GREEN PEOPLE - ORGANIC YOUNG,DY972,Foaming Anti-Bac Face Wash,Unisex,6 X 100ML,39.84,1,11.95,,,G,O,,V
SUGARS & SYRUPS,RAYNERS,LJ901,Black Treacle - organic,,6 X 340G,9.81,,2.19,,,G,O,,V
HERBS & SPICES - BULK,BULK SCENTED HERBS,HE090,Lavender,,500G,10.15,,,,,G,,,V
HOUSEHOLD PRODUCTS,HILL BRUSH COMPANY,NF783,Back & Body Brush,,EACH,4.05,1,6.45,,,,,,
BABY & CHILD FOOD,HOLLE,BB273,Rolled Oats Porridge,from 6 months,6 X 250G,12.03,,2.75,,,,O,,V
BISCUITS CRACKERS & CRISPBREAD,ISLAND BAKERY ORGANICS,BT163,Chocolate Gingers,,12 X 150G,24.95,1,3.33,,,,O,S,
BABYCARE PRODUCTS,JACK N' JILL,DY296,Toothpaste - Blackcurrant,no fluoride;SLS;colour;mint,6 X 50G,16.6,1,4.99,,,G,,,V
BISCUITS CRACKERS & CRISPBREAD,DR KARG,BT815,Emmental Cheese & Pumpkin Seed,Organic wholegrain crispbread,8 X 200G,15.06,,2.49,,,,O,,
FRUIT & VEGETABLE JUICES,BERRY COMPANY,JU253,Cranberry Juice Drink,,12 X 1L,16.77,1,2.24,,,G,,S,V
SNACK BARS & FLAPJACKS,LYME REGIS FOODS,KB474,Strawberry Fruit Bar - org,,24 X 20G,9.75,1,0.65,,,G,O,,V
GRAVY; STOCK & BOUILLON,MARIGOLD,LJ211,Bouillon Cubes,Organic,12 X 8,9.81,,1.09,,,G,O,,V
TABLE SAUCES,MARCELA FLORES,KJ165,Zingy Salsa Verde,,6 X 195G,9.41,,2.09,,,,,,V
FLAKES; BRANS & WHEATGERM,MORNFLAKE,FX008,Oat Bran,,12 X 500G,15.15,,1.69,,,,,,V
PASTA SAUCES & PESTOS,SUNITA,KJ790,Organic Pesto Genovese,,6 X 130G,16.43,,3.65,,,G,O,,V
MUESLIS & BREAKFAST CEREALS,SUMA MUESLI - BAG IN BOX,MX098,Organic Omega Muesli,Pumpkin/sunflwr/linseed/sesame,6 X 750G,9.35,,2.08,,,,O,,V
TOFU (CHILLED),NATUREMADE OASIS,CV312,Tofuburgers OG - Mixed Pack A,,5 X 180G,6.59,,1.75,,,,O,,
BODYCARE,NATRACARE,NF827,Ultra Regular Pad with Wings,organic cotton cover,12 X 14,18.32,5,2.29,,,,,,V
SUPPLEMENTS & REMEDIES,NATURES OWN,VM400,Evening Primrose Oil,500mg Omega 6 - GLA 10%,1 X 90 CAPS,6.84,1,12.25,,,G,,,V
NON-DAIRY DESSERTS (FROZEN),ICE DELIGHT,XL236,Lemon Iced Dessert,,12 X 100ML,11.49,1,1.55,,,G,,S,V
NUTS & SEEDS,SUMA PREPACKS - ORGANIC,NU102,Almonds - organic,,6 X 250G,21.39,,4.75,,,G,O,,V
OILS & FATS,COCOWEL,GT058,Og Extra Virgin Coconut Oil,,3 X 500ML,15.73,,6.99,,,G,O,,V
COFFEE,PERCOL,TE703,Italiano Fairtrade,Espresso style,8 X 227G,21.07,,3.49,,F,G,,,V
NUTS & SEEDS,SUMA PREPACKS - ORGANIC,NU218,Peanuts - organic,Paleskins,6 X 500G,13.03,,2.89,,,G,O,,V
GRAINS,SUMA PREPACKS,QS052,Rice - long grain brown,,6 X 500G,5.78,,1.29,,,G,,,V
SOYA YOGS & DESSERTS (CHILLED),PROVAMEL,CV009,Organic Orange & Redbush Yofu,Minimum 15 days shelf life,6 X 500G,7.16,,1.59,B,,G,O,S,V
MEATLESS SUBSTITUTES (CHILLED),VBITES,CV165,Chicken Style Tikka Bites,,6 X 150G,10.8,,2.4,,,,,S,V
BAKING SUNDRIES,NIELSEN MASSEY,LJ037,Vanilla Extract,,6 X 1L,116,,23.15,,,G,,S,V
FLOURS & BREAD MIXES,SHIPTON MILL,FG136,Soft Cake & Pastry White Flour,,10 X 1KG,9.21,,1.25,,,,O,,V
SOFT DRINKS,SMUG DRINKS,JU152,Lemon & Lime,with Green Tea & B vits,12 X 400ML,14.17,1,1.89,,,,,,
SALADS & SPROUTS (CHILLED),SKY SPROUTS,CV503,Organic Mung Bean Sprouts,,200G,0.97,,1.29,,,G,O,,V
FRUIT - DRIED,SUMA BAGGED DOWN,DR216,Sultanas - No 9's,Turkey,1 KG,4.35,,,,,G,,,V
GRAVY; STOCK & BOUILLON,SUMA,LJ283,Reduced Salt Bouillon Powder,Vegan - Recyclable Packaging,900G,6.53,,8.69,,,G,,,V
ESSENTIAL OILS,AQUA OLEUM,AR144,Tea Tree Oil Merchandiser,Melaeuca Alternifolia-Australi,18 X 10 ML,40.58,1,4.25,,,,,,V
