CATEGORY NAME,BRAND,PLCDE,PLDESC,PLTEXT,SIZE,PRICE, VAT,    RRP,B,F,G,O,S,V
HOUSEHOLD CLEANING PRODUCTS,GREENFROG,HJ222,All Purpose Cleaner,,6 X 500ML,8.11,1,2.25,,,G,,,V
NUTS & SEEDS,SUMA PREPACKS,NU090,Hazelnuts,,6 X 125G,8.09,,1.79,,,G,,,V
BODYCARE,TINTS OF NATURE,DY110,Medium Chestnut Brown,TNSMCB,1 X 90ML,4.8,1,8.99,,,,,,V
HERB & FRUIT INFUSIONS,HAMPSTEAD TEA,TE460,Chamomile - og,,6 X 20BAGS,8.96,,1.99,,,G,O,,V
BISCUITS CRACKERS & CRISPBREAD,KALLO,BT014,Sweet Chilli Corn/Rice Snacks,,12 X 25G,5.63,1,0.75,,,G,,S,V
HONEY,LITTLEOVER APIARIES,HY045,Manuka Honey 5+,,6 X 250G,37.61,,8.35,,,G,,,
PAPER PRODUCTS & STATIONERY,NAMASTE,NF136,Lokta Gift Wrap; Gold Print,Various background colours,20 X 1,27.8,1,2.25,,F,,,,
SOFT DRINKS,BELVOIR,JU739,Mulled Winter Punch,,12 X 750ML,22.05,1,2.95,,,G,,S,V
NON-DAIRY DESSERTS (FROZEN),MAMMA CUCINA,XL408,Strawberry Soya Desert,,6 X 750ML,11.21,1,2.99,,,G,,S,V
SUGARS & SYRUPS,MERIDIAN,HY250,Maple Syrup - organic,,6 X 330G,29.2,,6.49,,,G,O,,V
FRUIT - DRIED,SUMA PREPACKS - ORGANIC,DR365,Vine Fruit Mix - organic,,6 X 500G,17.95,,3.99,,,G,O,,V
BEANS & PULSES - DRIED,SUMA BAGGED DOWN,PU179,Moong Dahl,,3 KG,10.15,,,,,G,,,V
MUESLIS & BREAKFAST CEREALS,SUMA BULK MUESLI - ORGANIC,MX036,Plain & Simple Muesli Base -Og,,10 KG,17.49,,,,,,O,,V
HOUSEHOLD PRODUCTS,NAMASTE,NF167,Coconut Shell Lacquered Bowl,Droplet design; matches NF168,6 X 1,22.42,1,5.99,,F,,,,
SUPPLEMENTS & REMEDIES,NATURAL EAR CANDLE COMPANY,MD095,Ear Candle - Eucalyptus,,12 X PAIR,57.36,1,8.79,,,,,,
CHOCOLATE,PLAMIL,KB434,No Added Sugar Banana,,24 X 45G,16.35,1,1.09,,,G,,,V
FRUIT JUICE CONCS & CORDIALS,BOTTLE GREEN,JU526,Strawberry Elderflower Cordial,,6 X 500ML,16.75,1,4.45,,,G,,S,V
FLOURS & BREAD MIXES,SUMA BAGGED DOWN - ORGANIC,FG043,Soya Flour - organic,Full Fat,1 KG,3.35,,,,,G,O,,V
NON-DAIRY DESSERTS (FROZEN),OKOBAY,XL405,Coconut Water Ice,,10 X 3X105ML,21.29,1,3.49,,,G,,,V
CHOCOLATE,ORGANIC SEED & BEAN COMPANY,KB735,37% Milk Choc & Tangerine,,8 X 85G,11.95,1,2.39,,F,G,O,S,
HERB & FRUIT INFUSIONS,PUKKA,TE094,Vanilla Chai,cinnamon; sweet vanilla,4 X 20 BAGS,6.87,,2.29,,,G,O,,V
TEAS,QI,TE358,White & Goji Berry Tea,,6 X 20 BAGS,7.23,,1.59,,,G,O,,V
PEANUT; SEED & NUT BUTTERS,RAW HEALTH,GH085,Whole Raw Cashew Butter,,6 X 170G,21.77,,4.85,,,G,O,,V
DESSERTS,REDWOOD - WOT NO DAIRY?,SY004,Strawberry Dessert,with pea protein,12 X 145G,5.28,,0.59,,,G,,,V
PASTA,BIONA,WT331,Wholemeal Organic Spelt Penne,Traditionally Rolled,10 X 500G,15.68,,2.09,,,,O,,V
SOFT DRINKS,ROCKS,JU355,Frusion Tomato & Cherry,,6 X 735ML,9.15,1,2.45,,,G,O,,V
SUPPLEMENTS & REMEDIES,FLORADIX,MD282,Kindervital Improved Formula,,500ML,8.4,1,14.79,,,,,,
